,AbiD,AbiH,AbiJ,AbiL,AbiU,AbiZ,Avs_II,Avs_III,Avs_IV,Avs_V,BREX_I,CBASS_I,CBASS_II,CRISPR-Cas IF,CapRel,DRT_2,DRT_3,DRT_8,DRT_9,DarTG,Dazbog,Detocs,Dnd_ABCDE,Dnd_ABCDEFGH,Druantia_III,Dsr_II,Eleos,FS_GIY_YIG,GAPS4,Gabija,Gao_Her_DUF,Gao_Iet,Gao_Mza,Gao_Ppl,Gao_Qat,Gao_RL,Hachiman,Hna,Kiwa,Lamassu-Cap4_nuclease,Lamassu-Hydrolase_Protease,Lamassu-Mrr,Menshen,Mokosh_Type_I_C,NLR_like_bNACHT01,Old_exonuclease,Olokun,PARIS_I,PARIS_II,PARIS_II_merge,PD-Lambda-1,PD-Lambda-2,PD-Lambda-5,PD-T4-5,PD-T7-2,PD-T7-3,PD-T7-5,PrrC,PsyrTA,Pycsar,RM_I,RM_II,RM_IIG,RM_III,RM_IV,Retron_II,Retron_III,Retron_IV,Retron_I_A,Retron_I_C,Retron_VI,Retron_XI,Retron_XII,RloC,RosmerTA,Rst_3HP,Rst_HelicaseDUF2290,SEFIR,Septu,Shedu,ShosTA,SoFic,SspBCDE,Thoeris_I,Thoeris_II,Zorya_TypeI,dCTP deaminase,dGTPase,pAgo_LongB
AbiD,0.074205311,0.416782553,1,1,1,1,1,0.301299262,1,1,1,1,0.296721768,0.002713458,1,1,0.41717901,1,1,1,1,1,1,1,1,1,1,1,1,0.820505179,1,1,1,1,0.030063969,1,1,1,1,0.610581773,1,1,1,1,1,1,1,1,1,1,1,0.065985207,1,0.034011078,1,1,0.034254659,1,1,1,8.47E-06,0.466898709,1,1.88E-11,1,1,0.629710131,1,1,6.61E-05,0.000178474,1,1,0.233587868,0.001777188,1,1,1,0.815879952,0.010076265,1,1,0.009624433,1,1,1,0.629187024,1.01E-06,1
AbiH,0.416782553,0.003251989,0.016031226,0.268119801,1.56E-47,1,1,0.644042315,1,1,1,1,3.70E-27,0.099977157,1,0.562426551,0.034854189,1,1,0.084750979,1,0.304123778,1,1,0.414016358,1,1,1,1,0.000365312,0.285294111,0.409775691,1,1,6.62E-09,1,0.271870905,1,0.021393149,0.052900049,1,1,1,0.410666459,0.382507801,1,0.00362134,0.421669984,1,0.07737922,1,0.465004705,0.52545193,7.42E-07,1,1,8.58E-06,1,0.627914837,1,1.23E-07,3.91E-08,0.000285789,0.072171193,0.272828738,1,2.23E-31,1,1,1,0.44600576,1,1,1,1.26E-06,1,0.23035256,0.634818823,0.713246774,0.016364681,1,0.118099862,1.15E-08,1,0.409775691,0.711799871,0.03543952,1,1
AbiJ,1,0.016031226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.011665833,1,1,1,1,0.004551358,1,1,0.484838509,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04967274,0.098895009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.091153092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.200160473,1,1,1,1,1,1,1,1,1
AbiL,1,0.268119801,1,1,1,1,1,7.21E-12,1,1,1,1,9.69E-11,0.84480046,1,1,0.268214123,1,1,0.629197933,1,1,0.093632667,1,1,1,1,1,1,0.000293566,1,1,1,1,0.00187279,1,0.459972376,1,1,0.629714074,1,1,1,2.83E-17,0.625273171,1,0.093632667,1,1,1,1,0.182074969,1,0.135523395,1,1,0.136730584,1,1,1,0.007801012,0.010314815,1,1,1,1,0.340287064,0.024268678,1,1,1,1,1,1,0.000821675,1,1,1,0.000103184,0.276079513,0.047954501,0.556986125,0.00678499,1,1,1,0.634360247,1,0.213224625
AbiU,1,1.56E-47,1,1,1,1,1,1,1,1,0.629115288,1,6.33E-38,0.003282846,1,1,0.177388941,1,1,0.637625929,1,1,1,1,1,1,1,1,1,0.010286883,1,1,1,1,0.00058669,1,1,1,1,0.640283463,1,1,1,1,0.633636624,1,1,1,1,1,1,0.124257999,1,0.010929811,1,1,0.045245218,1,1,1,0.034537862,0.094490131,1,0.629962501,1,1,0.408292426,1,1,1,1,1,1,1,0.000154596,1,1,1,0.014829493,0.183526705,1,1,0.001967137,1,1,1,0.408210251,1,1
AbiZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.007745098,1,1,1,1,1,1,1,1,1,1,1,1,1,0.34392769,1,1,1,1,1,1,1,1,1,0.02482946,1,1,1,1
Avs_II,1,1,1,1,1,1,1,1,1,1,1,1,1,0.011978146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.371390775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.508957656,1,1,1,1,1,1,1,1,1,0.043404722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.017650029
Avs_III,0.301299262,0.644042315,1,7.21E-12,1,1,1,1,1,1,0.447247643,1,2.44E-07,0.238767871,1,1,0.644421745,1,1,0.516998101,1,1,1,1,1,1,1,1,1,0.008976973,1,1,1,1,0.014112401,1,1,1,1,1,1,1,1,1.06E-12,1,1,1,1,1,1,1,1,1,0.076295768,1,1,0.076629867,1,1,1,0.089936289,0.271033715,1,0.468460768,1,1,1,1,1,1,1,1,1,1,0.005912672,1,1,1,9.85E-05,0.407059301,1,1,0.033093316,1,1,1,0.564976376,1,1
Avs_IV,1,1,1,1,1,1,1,1,1,1,1,1,1,0.650976997,1,0.049566409,1,1,1,1,1,1,1,1,1,1,1,1,1,0.630287305,1,1,0.003708278,1,0.394638745,1,0.116825241,1,1,0.01903598,1,1,1,1,0.17955795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.28519152,1,0.166109269,0.117925374,1,0.024271133,1,1,1,1,1,1,0.05896249,0.396247813,1,1,0.071738495,0.624278089,1,1,0.151392624,0.625202059,1,1,1,0.212780123,1,1
Avs_V,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0756204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
