,AbiD,AbiZ,BREX_I,CBASS_I,CBASS_II,CRISPR-Cas IF,DRT_2,DRT_3,DarTG,Druantia_III,Dsr_II,Eleos,FS_GIY_YIG,Gabija,Gao_Mza,Gao_Qat,Gao_RL,Hachiman,Hna,Kiwa,Lamassu-Cap4_nuclease,Menshen,Mokosh_Type_I_C,PD-T4-5,PD-T7-2,PD-T7-5,PrrC,PsyrTA,Pycsar,RM_I,RM_II,RM_IIG,RM_III,RM_IV,Retron_III,Retron_XI,RloC,RosmerTA,Septu,ShosTA,SoFic,Zorya_TypeI,dCTP deaminase,dGTPase,pAgo_LongB
AbiD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.246814417,1,1,1,1,1,1,1,0.033861864,1,0.03380874,1,1,1,3.82E-19,1,1,1,1,1,1,1,1,0.632504591,1,1,1,1,1,1
AbiZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009609938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BREX_I,1,1,0.074161209,1,0.273612701,1,1,1,2.27E-71,1,1,1,1,0.407402396,1,9.87E-05,1,1,1,1,0.443892079,1,1,1.86E-08,1,1.86E-08,1,2.68E-20,1,0.000252817,0.403017583,1,1,1,1,1,1,1,0.003711183,1,0.62871763,0.64424184,0.047500477,1,1
CBASS_I,1,1,1,1,0.012101284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.048580463,0.359286493,1,0.359134827,1,1,1,0.002499876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CBASS_II,1,1,0.273612701,0.012101284,0.400854321,1,1,1,0.110284657,1,1,1,1,0.62580203,1,0.003340347,1,0.097194142,1,1,0.640702037,1,1,8.21E-06,1,8.19E-06,1,0.62503726,1,0.116941812,0.624488309,1,1,1,1,1,1,1,2.76E-16,1,1,1,4.29E-23,1,1
CRISPR-Cas IF,1,1,1,1,1,1,1,1,1,1,1,0.011904638,1,1,1,0.609970713,1,1,1,1,0.016859751,1,1,0.222228595,1.41E-05,0.22202497,1,1,1,0.606353776,1,1,0.08441934,1,1,1,1,1,1,1,0.117086397,0.134783429,1,1,1
DRT_2,1,1,1,1,1,1,1,1,1,1,1,1,0.006186464,1,1,1,1,1,1,1,1,1,1,0.359286493,1,0.359134827,1,1,1,1,1,1,1,1,1,1,1,0.015404641,3.03E-05,1,1,1,1,1,1
DRT_3,1,1,1,1,1,1,1,1,1,1.22E-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0.359286493,1,0.359134827,1,1,1,0.002499876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DarTG,1,1,2.27E-71,1,0.110284657,1,1,1,0.013385516,1,1,1,1,0.261443946,1,1.10E-05,1,1,1,1,1,1,1,4.36E-10,1,4.43E-10,0.045575221,2.13E-18,1,0.610623765,0.258809499,1,0.265092377,1,1,1,1,1,0.00106431,1,0.398286523,0.000148286,0.033057015,1,1
Druantia_III,1,1,1,1,1,1,1,1.22E-05,1,1,1,1,1,1,1,0.244893981,1,1,1,1,1,1,1,0.055981297,1,0.056067446,1,1,1,2.77E-12,1,1,1,1,1,1,1,1,0.626619573,1,1,1,1,1,1
Dsr_II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.609970713,1,1,1,1,1,1,1,0.222228595,1,0.22202497,1,1,1,1,8.40E-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eleos,1,1,1,1,1,0.011904638,1,1,1,1,1,1,1,0.056024827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.266796761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FS_GIY_YIG,1,1,1,1,1,1,0.006186464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004420861,1,1,1,1,1,1,1
Gabija,1,1,0.407402396,1,0.62580203,1,1,1,0.261443946,1,1,0.056024827,1,1,1,0.011688778,1,1,1,1,0.624187527,1,9.19E-24,0.000222512,1,0.000223902,1,1,1,2.43E-08,0.182492858,1,1,1,1.14E-07,1,1,1,0.070086566,1,1,1,0.414911204,0.00013334,1
Gao_Mza,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.018141593,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gao_Qat,0.246814417,1,9.87E-05,1,0.003340347,0.609970713,1,1,1.10E-05,0.244893981,0.609970713,1,1,0.011688778,1,9.78E-13,1,1,1,1,0.004954554,1,0.40145942,8.39E-26,1,1.06E-25,1,0.018745655,1,6.66E-12,0.615003848,1,0.159044772,1,1,1,0.392161315,1,2.12E-08,1,0.000861261,0.027627505,6.50E-05,0.392161315,1
Gao_RL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002212389,1,1,1,1,1,1,1
Hachiman,1,1,1,1,0.097194142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.569424649,1,0.570365283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053783613,1,1,1,1
Hna,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.186850239,1,1,1,1,1,1,0.013233203,1,1,1,1,1,1,1,1
Kiwa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.365888893,1,0.366016932,1,1,1,5.94E-07,1,1,1,1,1,1,0.051958784,1,1,1,1,1,1,1,1
Lamassu-Cap4_nuclease,1,1,0.443892079,1,0.640702037,0.016859751,1,1,1,1,1,1,1,0.624187527,1,0.004954554,1,1,1,1,0.631553502,0.004968234,1,2.10E-05,1,0.000453116,1,0.624288355,1,0.813592349,1,1,1,1,1,1,0.295498066,1,0.047975701,1,1,1,1.16E-43,1,1
Menshen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004968234,1,1,0.590609872,1,0.590552021,1,1,1,0.078700848,0.087550659,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mokosh_Type_I_C,1,1,1,0.048580463,1,1,1,1,1,1,1,1,1,9.19E-24,1,0.40145942,1,1,1,1,1,1,1,0.053938042,1,0.053888368,1,1,1,1,1,1,1,1,1,1,1,1,0.621965742,1,1,1,1,1,1
PD-T4-5,0.033861864,1,1.86E-08,0.359286493,8.21E-06,0.222228595,0.359286493,0.359286493,4.36E-10,0.055981297,0.222228595,1,1,0.000222512,1,8.39E-26,1,0.569424649,1,0.365888893,2.10E-05,0.590609872,0.053938042,1.28E-44,1,3.41E-180,1,0.000210366,0.60197476,2.53E-17,0.00035831,0.365888893,0.013483594,1,1,1,0.09032116,0.590609872,6.96E-14,1,0.002112393,0.000852621,7.51E-09,0.09032116,1
PD-T7-2,1,1,1,1,1,1.41E-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PD-T7-5,0.03380874,1,1.86E-08,0.359134827,8.19E-06,0.22202497,0.359134827,0.359134827,4.43E-10,0.056067446,0.22202497,1,1,0.000223902,1,1.06E-25,1,0.570365283,1,0.366016932,0.000453116,0.590552021,0.053888368,3.41E-180,1,6.98E-45,1,0.000210002,0.602136403,2.12E-16,0.000360799,0.366016932,0.013440744,1,1,1,0.090468322,0.590552021,1.36E-15,1,0.002106691,0.000853795,7.60E-09,0.090468322,1
PrrC,1,1,1,1,1,1,1,1,0.045575221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsyrTA,1,1,2.68E-20,1,0.62503726,1,1,1,2.13E-18,1,1,1,1,1,1,0.018745655,1,1,1,1,0.624288355,1,1,0.000210366,1,0.000210002,1,1,1,0.030439216,1,1,1,1,1,1,1,1,0.070206538,1,1,1,0.411382262,1,1
Pycsar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.60197476,1,0.602136403,1,1,1,1,0.104140647,1,1,1,1,1,1,1,9.19E-06,1,1,1,1,1,1
RM_I,3.82E-19,0.009609938,0.000252817,0.002499876,0.116941812,0.606353776,1,0.002499876,0.610623765,2.77E-12,1,0.266796761,1,2.43E-08,1,6.66E-12,1,1,0.186850239,5.94E-07,0.813592349,0.078700848,1,2.53E-17,1,2.12E-16,1,0.030439216,1,4.61E-11,0.425818431,0.004616952,0.159090423,1,1,1,2.13E-10,1,8.45E-46,0.098230088,0.357816669,4.07E-18,0.000170353,1,1
