#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,,,,,,,,,
GCA_000015425.1,PRJNA17477,SAMN02604331,na,na,400667,470,Acinetobacter baumannii ATCC 17978,strain=ATCC 17978,na,latest,Complete Genome,Major,Full,2007/3/1,ASM1542v1,Yale University,GCF_000015425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/425/GCA_000015425.1_ASM1542v1,many frameshifted proteins,na,na,haploid,bacteria,4001457,4001457,39,3,3,3,Yale University,Annotation submitted by Yale University,2014/1/31,3905,3803,84,17344419,,,,,,,,,
GCA_000018445.1,PRJNA17827,SAMN02603140,na,na,405416,470,Acinetobacter baumannii ACICU,strain=ACICU,na,latest,Complete Genome,Major,Full,2008/4/15,ASM1844v1,CNR - National Research Council,GCF_000018445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/445/GCA_000018445.1_ASM1844v1,na,na,na,haploid,bacteria,3996761,3996761,39,3,3,3,CNR - National Research Council,Annotation submitted by CNR - National Research Council,2016/7/26,3845,3759,82,18411315,,,,,,,,,
GCA_000021245.2,PRJNA21111,SAMN02603051,na,na,480119,470,Acinetobacter baumannii AB0057,strain=AB0057,na,latest,Complete Genome,Major,Full,2017/6/27,ASM2124v2,Case Western Reserve University,GCF_000021245.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/245/GCA_000021245.2_ASM2124v2,na,na,na,haploid,bacteria,4063879,4063879,39,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016/12/14,3884,3787,93,18931120,,,,,,,,,
GCA_000069205.1,PRJNA13001,SAMEA3138277,na,na,509170,470,Acinetobacter baumannii SDF,strain=SDF,na,latest,Chromosome,Major,Full,2008/2/29,ASM6920v1,Genoscope,GCF_000069205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/205/GCA_000069205.1_ASM6920v1,many frameshifted proteins,na,na,haploid,bacteria,3477996,3477896,39,4,4,4,Genoscope,Annotation submitted by Genoscope,2016/7/26,3664,2975,87,18350144,,,,,,,,,
GCA_000069245.1,PRJNA28921,SAMEA3138279,na,na,509173,470,Acinetobacter baumannii AYE,strain=AYE,na,latest,Complete Genome,Major,Full,2008/2/29,ASM6924v1,Genoscope,GCF_000069245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/245/GCA_000069245.1_ASM6924v1,na,na,na,haploid,bacteria,4048735,4048735,39.5,5,5,5,Genoscope,Annotation submitted by Genoscope,2023/7/14,3890,3712,101,18350144,,,,,,,,,
GCA_000173395.1,PRJNA30995,SAMN02471436,ABXK00000000.1,na,557601,470,Acinetobacter baumannii AB900,strain=AB900,na,latest,Contig,Major,Full,2008/12/5,ASM17339v1,Infectious Disease and Genomics Laboratory, Center of Excellence in Bioinformatics and Life Sciences, SUNY-Buffalo,GCF_000173395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/395/GCA_000173395.1_ASM17339v1,na,na,na,haploid,bacteria,3910877,3910877,39,0,68,68,Infectious Disease and Genomics Laboratory, Center of Excellence in Bioinformatics and Life Sciences, SUNY-Buffalo,Annotation submitted by Infectious Disease and Genomics Laboratory, Center of Excellence in Bioinformatics and Life Sciences, SUNY-Buffalo,2010/11/18,0,0,0,18931120,,,
GCA_000184495.2,PRJNA60845,SAMN02435947,AEPL00000000.1,na,933264,470,Acinetobacter baumannii UMB002,strain=UMB002,na,latest,Contig,Major,Full,2010/12/21,ASM18449v2,Institute for Genome Sciences,GCF_000184495.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/495/GCA_000184495.2_ASM18449v2,na,na,na,haploid,bacteria,3936001,3936001,39,0,74,74,Institute for Genome Sciences,Annotation submitted by Institute for Genome Sciences,2012/1/29,0,0,0,21639920,,,,,,,,,
GCA_000184515.2,PRJNA60847,SAMN02436014,AEPM00000000.1,na,933265,470,Acinetobacter baumannii UMB003,strain=UMB003,na,latest,Contig,Major,Full,2010/12/21,ASM18451v2,Institute for Genome Sciences,GCF_000184515.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/515/GCA_000184515.2_ASM18451v2,many frameshifted proteins,na,na,haploid,bacteria,4188709,4188709,39,0,96,96,Institute for Genome Sciences,Annotation submitted by Institute for Genome Sciences,2012/1/29,0,0,0,21639920,,,,,,,,,
GCA_000186665.4,PRJNA61919,SAMN02603576,na,na,945556,470,Acinetobacter baumannii D1279779,strain=D1279779,na,latest,Complete Genome,Major,Full,2014/9/30,ASM18666v4,Macquarie University,GCF_000186665.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/665/GCA_000186665.4_ASM18666v4,na,na,na,haploid,bacteria,3711700,3711700,39,2,2,2,Macquarie University,Annotation submitted by Macquarie University,2015/6/8,3487,3396,83,22092679;23527001;25883135,,,,,,,,,
GCA_000187205.4,PRJNA52959,SAMN02603104,na,na,889738,470,Acinetobacter baumannii MDR-TJ,strain=MDR-TJ,na,latest,Complete Genome,Major,Full,2013/3/11,ASM18720v4,Centre of Bioinformatics, Tianjin University, Tianjin 300072, China,GCF_000187205.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/205/GCA_000187205.4_ASM18720v4,na,na,na,haploid,bacteria,4153407,4153407,39,3,3,3,Centre of Bioinformatics, Tianjin University, Tianjin 300072, China,Annotation submitted by Centre of Bioinformatics, Tianjin University, Tianjin 300072, China,2014/1/30,4047,3936,96,21398552;22952140
